VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1770396920015	-167.739	-141.546	-13.598	-0.173675	0.306791	0.17051	-0.920132	img_Drone1__0_1770396920536600800.png
Drone1	1770396920048	-168.13	-141.566	-13.6635	-0.176022	0.309633	0.164456	-0.919836	img_Drone1__0_1770396920571013600.png
Drone1	1770396920090	-168.605	-141.585	-13.7555	-0.178804	0.312277	0.157072	-0.919696	img_Drone1__0_1770396920613123200.png
Drone1	1770396920138	-169.12	-141.598	-13.8717	-0.181764	0.314247	0.148997	-0.919788	img_Drone1__0_1770396920662228900.png
Drone1	1770396920195	-169.694	-141.606	-14.0233	-0.185054	0.315491	0.139802	-0.92015	img_Drone1__0_1770396920718395500.png
Drone1	1770396920246	-170.173	-141.606	-14.1703	-0.18785	0.31586	0.131846	-0.920631	img_Drone1__0_1770396920767857900.png
Drone1	1770396920294	-170.597	-141.601	-14.3176	-0.19039	0.315731	0.124525	-0.921173	img_Drone1__0_1770396920815462000.png
Drone1	1770396920339	-170.97	-141.592	-14.463	-0.192713	0.315292	0.117768	-0.921728	img_Drone1__0_1770396920863159300.png
Drone1	1770396920396	-171.41	-141.576	-14.6569	-0.1956	0.314403	0.109308	-0.922466	img_Drone1__0_1770396920918825300.png
Drone1	1770396920447	-171.774	-141.559	-14.8392	-0.198147	0.313368	0.101796	-0.923134	img_Drone1__0_1770396920969561900.png
Drone1	1770396920501	-172.13	-141.538	-15.041	-0.200817	0.312088	0.0938726	-0.92383	img_Drone1__0_1770396921023259600.png
Drone1	1770396920549	-172.42	-141.517	-15.2279	-0.203176	0.310827	0.0868383	-0.924427	img_Drone1__0_1770396921071679800.png
Drone1	1770396920600	-172.702	-141.494	-15.4343	-0.205671	0.309387	0.0793593	-0.92503	img_Drone1__0_1770396921122128500.png
Drone1	1770396920648	-172.946	-141.471	-15.6342	-0.208013	0.307957	0.0723069	-0.925562	img_Drone1__0_1770396921171320800.png
Drone1	1770396920699	-173.187	-141.447	-15.8433	-0.210486	0.306378	0.0648226	-0.926081	img_Drone1__0_1770396921222157800.png
Drone1	1770396920753	-173.429	-141.422	-16.0549	-0.213061	0.304671	0.0569883	-0.926571	img_Drone1__0_1770396921274993400.png
Drone1	1770396920804	-173.645	-141.399	-16.2438	-0.215425	0.303055	0.0497542	-0.926971	img_Drone1__0_1770396921326772200.png
Drone1	1770396920855	-173.851	-141.377	-16.4215	-0.2177	0.301347	0.042768	-0.927344	img_Drone1__0_1770396921376782400.png
Drone1	1770396920903	-174.034	-141.357	-16.5786	-0.219596	0.296579	0.0372159	-0.928673	img_Drone1__0_1770396921425093100.png
Drone1	1770396920951	-174.209	-141.338	-16.7255	-0.221213	0.288932	0.0327906	-0.930864	img_Drone1__0_1770396921474025500.png
Drone1	1770396921008	-174.406	-141.317	-16.8858	-0.222806	0.277182	0.0288084	-0.934183	img_Drone1__0_1770396921530917100.png
Drone1	1770396921056	-174.564	-141.3	-17.0086	-0.223909	0.265824	0.0263229	-0.937289	img_Drone1__0_1770396921580536700.png
